ID,stix_id,name,description,url,created,last_modified,domain,version
FTA001,,Reconnaissance,"The adversary gathers information on potential targets to inform future fraudulent activities. This could involve collecting publicly available data, purchasing stolen credentials or personal information, and probing for vulnerabilities in systems.",,01/30/2024,01/30/2024,ft3,V.1
FTA002,,Resource Development,"In this phase, adversaries acquire and develop resources they require to conduct their attacks. This may include setting up infrastructure such as phishing websites, creating mule accounts for receiving stolen funds, or even recruiting collaborators.",,01/30/2024,01/30/2024,ft3,V.1
FTA003,,Initial Access,"This tactic involves the methods fraudsters use to gain initial footholds in a system or network. They may use various techniques such as stolen credentials, phishing attacks, or exploiting vulnerabilities in software to access accounts or systems and prepare for subsequent fraudulent activities.",,01/30/2024,01/30/2024,ft3,V.1
FTA004,,Execution,The Execution tactic refers to the manner in which an attacker runs malicious code or performs actions that facilitate fraudulent activities. It could involve running scripting tools on a compromised computer to automate collection of financial information or executing unauthorized transactions directly.,,01/30/2024,01/30/2024,ft3,V.1
FTA005,,Defense Evasion & Obfuscation,"Frauds often use techniques to avoid detection by hiding their activities or making their actions look legitimate. Defense evasion might include crafting transactions to bypass fraud detection algorithms, and obfuscation refers to disguising the true nature and source of those transactions.",,01/30/2024,01/30/2024,ft3,V.1
FTA006,,Lateral Movement & Internal Proliferation,"After gaining initial access, the fraudster moves laterally within the network to gain wider access to accounts and resources. They may attempt to spread to other systems, or proliferate internally within the system, increasing the scope of their fraudulent reach.",,01/30/2024,01/30/2024,ft3,V.1
FTA007,,Manipulation & Fraudulent Transactions,This tactic covers the direct manipulation of systems or accounts to perform unauthorized transactions. It could range from small test transactions to check for detection to large scale unauthorized transfers or payment alterations.,,01/30/2024,01/30/2024,ft3,V.1
FTA008,,Command and Control,"The attackers establish a method to control and remotely direct activities within the compromised system. For financial systems, this could involve creating backdoor access to maintain persistent control or remotely initiating fraudulent transactions when desired.",,01/30/2024,01/30/2024,ft3,V.1
FTA009,,Collection & Exfiltration,"This tactic entails the compilation and extraction of valuable data from the victim's network. Fraudsters may collect personal identification information, payment card details, or corporate financial information, with the intent of using or selling this stolen data.",,01/30/2024,01/30/2024,ft3,V.1
FTA010,,"Financial Evasion, Laundering & Cash-Out","After successfully committing fraud, attackers use techniques to evade detection by financial authorities, launder money through various channels, and ultimately 'cash out' by converting illicit gains into usable funds or assets without alerting law enforcement.",,01/30/2024,01/30/2024,ft3,V.1
FTA011,,Impact & Disruption,"Attacks within this tactic focus on creating havoc, which may involve disrupting financial operations or damaging a victim’s financial reputation. This could act as a smokescreen for theft or as a direct effort to destabilize an entity.",,01/30/2024,01/30/2024,ft3,V.1
FTA012,,Obfuscation and Destruction of Evidence,"Once fraud has been committed, attackers might seek to cover their tracks by obfuscating their activities and destroying evidence. This could include wiping logs, using encryption to hide stolen data, or otherwise hindering investigation and attribution efforts.",,01/30/2024,01/30/2024,ft3,V.1
